x,y,speed,yaw
-3.28,-0.10,1.70,0.0056
-2.90,-0.10,1.96,0.0050
-2.51,-0.10,2.18,0.0044
-2.12,-0.10,2.38,0.0039
-1.73,-0.09,2.57,0.0034
-1.35,-0.09,2.75,0.0030
-0.96,-0.09,2.91,0.0027
-0.57,-0.09,3.07,0.0025
-0.18,-0.09,3.22,0.0023
0.21,-0.09,3.36,0.0021
0.59,-0.09,3.49,0.0021
0.98,-0.09,3.62,0.0021
1.37,-0.09,3.75,0.0022
1.76,-0.09,3.87,0.0023
2.15,-0.08,3.99,0.0025
2.53,-0.08,4.00,0.0028
2.92,-0.08,4.00,0.0031
3.31,-0.08,4.00,0.0035
3.70,-0.08,3.93,0.0040
4.09,-0.08,3.81,0.0045
4.47,-0.08,3.69,0.0051
4.86,-0.07,3.56,0.0058
5.25,-0.07,3.43,0.0065
5.63,-0.07,3.29,0.0066
6.02,-0.07,3.15,0.0055
6.41,-0.07,3.00,0.0032
6.80,-0.06,2.84,-0.0002
7.18,-0.06,2.67,-0.0048
7.57,-0.07,2.49,-0.0108
7.96,-0.07,2.29,-0.0242
8.36,-0.08,2.07,-0.0467
8.78,-0.10,1.81,0.0493
9.16,-0.08,1.54,0.6404
9.39,0.09,1.30,1.4434
9.43,0.42,1.58,1.6207
9.41,0.83,1.86,1.5970
9.40,1.23,2.11,1.5685
9.40,1.63,2.33,1.5462
9.41,2.03,2.52,1.5301
9.43,2.43,2.71,1.5203
9.45,2.82,2.88,1.5170
9.47,3.21,3.03,1.5202
9.49,3.60,3.18,1.5303
9.50,3.98,3.33,1.5474
9.51,4.36,3.33,1.5713
9.51,4.73,3.19,1.5897
9.50,5.11,3.05,1.5897
9.50,5.48,2.90,1.5713
9.50,5.87,2.74,1.5362
9.51,6.26,2.56,1.4875
9.54,6.68,2.35,1.4323
9.60,7.11,2.12,1.4287
9.67,7.55,1.85,1.5379
9.68,7.93,1.58,1.8683
9.59,8.22,1.34,2.5815
9.36,8.37,1.57,3.0430
9.00,8.40,1.82,3.1396
8.61,8.40,2.06,3.1408
8.22,8.40,2.28,3.1401
7.83,8.40,2.47,3.1395
7.44,8.40,2.66,3.1390
7.05,8.40,2.83,3.1385
6.66,8.40,2.99,3.1381
6.27,8.41,3.14,3.1378
5.88,8.41,3.28,3.1375
5.50,8.41,3.42,3.1374
5.11,8.41,3.56,3.1372
4.72,8.41,3.69,3.1371
4.33,8.41,3.81,3.1371
3.94,8.42,3.93,3.1370
3.56,8.42,4.00,3.1369
