x,y,speed,yaw
3.82,-0.18,0.80,0.0151
4.27,-0.17,1.32,0.0094
4.71,-0.17,1.67,0.0047
5.15,-0.17,1.96,0.0010
5.57,-0.17,2.20,-0.0013
5.99,-0.17,2.42,-0.0023
6.41,-0.17,2.62,-0.0019
6.83,-0.17,2.81,-0.0001
7.26,-0.17,2.98,0.0030
7.70,-0.17,2.85,0.0072
8.15,-0.17,2.65,0.0131
8.61,-0.16,2.43,0.0556
9.08,-0.13,2.19,0.2018
9.49,-0.05,1.95,0.5341
9.80,0.13,1.72,1.0682
9.97,0.44,1.95,1.3855
10.04,0.85,2.19,1.4543
10.10,1.30,2.42,1.4218
10.16,1.74,2.64,1.4153
10.23,2.19,2.84,1.4462
10.29,2.63,3.02,1.5173
10.31,3.07,3.19,1.6256
10.29,3.49,3.34,1.7199
10.23,3.91,3.49,1.7746
10.14,4.32,3.63,1.7885
10.05,4.73,3.63,1.7624
9.97,5.15,3.49,1.6978
9.91,5.59,3.33,1.5998
9.90,6.03,3.17,1.5260
9.92,6.49,2.99,1.5368
9.94,6.94,2.80,1.6419
9.91,7.37,2.61,1.8660
9.79,7.75,2.42,2.1641
9.57,8.08,2.61,2.4168
9.26,8.35,2.79,2.6134
8.89,8.57,2.97,2.7687
8.48,8.73,3.15,2.8992
8.05,8.84,3.31,3.0144
7.61,8.89,3.47,3.1026
7.18,8.91,3.61,-3.1256
6.75,8.90,3.75,-3.1047
6.32,8.89,3.89,-3.1063
5.88,8.87,4.00,-3.1098
5.45,8.86,4.00,-3.1132
5.02,8.84,4.00,-3.1163
4.59,8.83,4.00,-3.1193
4.15,8.82,4.00,-3.1221
3.72,8.82,4.00,-3.1248
3.29,8.81,4.00,-3.1272
2.86,8.80,4.00,-3.1295
2.42,8.80,4.00,-3.1316
1.99,8.79,4.00,-3.1335
1.56,8.79,4.00,-3.1353
1.13,8.79,4.00,-3.1368
0.69,8.78,4.00,-3.1382
0.26,8.78,4.00,-3.1394
-0.17,8.78,4.00,-3.1405
-0.60,8.78,4.00,-3.1413
-1.04,8.78,4.00,3.1412
-1.47,8.78,4.00,3.1407
-1.90,8.78,4.00,3.1403
-2.33,8.78,4.00,3.1402
-2.77,8.78,4.00,3.1402
-3.20,8.78,4.00,3.1404
-3.63,8.78,4.00,3.1408
-4.06,8.78,4.00,3.1413
-4.50,8.78,4.00,-3.1411
-4.93,8.78,4.00,-3.1402
-5.36,8.78,4.00,-3.1392
-5.79,8.78,4.00,-3.1379
-6.22,8.78,4.00,-3.1365
-6.66,8.78,4.00,-3.1348
-7.09,8.78,4.00,-3.1331
-7.52,8.77,4.00,-3.1311
-7.95,8.77,4.00,-3.1289
-8.38,8.76,3.92,-3.1264
-8.82,8.76,3.78,-3.1217
-9.25,8.75,3.65,-3.1138
-9.68,8.73,3.50,-3.1027
-10.11,8.72,3.35,-3.0886
-10.54,8.70,3.19,-3.0713
-10.98,8.66,3.02,-3.0510
-11.41,8.63,2.84,-3.0278
-11.84,8.58,2.65,-3.0017
-12.28,8.51,2.45,-2.9729
-12.72,8.44,2.22,-2.9278
-13.15,8.35,1.96,-2.7201
-13.51,8.19,1.71,-2.1566
-13.70,7.89,1.88,-1.6754
-13.75,7.48,2.12,-1.5617
-13.74,7.03,2.37,-1.5669
-13.74,6.58,2.58,-1.5730
-13.74,6.14,2.78,-1.5764
-13.74,5.70,2.96,-1.5772
-13.75,5.27,3.13,-1.5781
-13.75,4.84,3.29,-1.5813
-13.75,4.41,3.45,-1.5868
-13.76,3.98,3.59,-1.5947
-13.77,3.55,3.48,-1.6047
-13.79,3.12,3.32,-1.6158
-13.80,2.69,3.16,-1.6155
-13.82,2.25,2.99,-1.5965
-13.84,1.81,2.81,-1.5588
-13.83,1.37,2.62,-1.5023
-13.80,0.93,2.41,-1.4159
-13.73,0.50,2.18,-1.1965
-13.58,0.12,1.94,-0.7362
-13.30,-0.14,2.04,-0.3073
-12.89,-0.27,2.28,-0.1284
-12.45,-0.32,2.50,-0.0463
-12.01,-0.34,2.70,0.0121
-11.57,-0.34,2.89,0.0471
-11.14,-0.32,3.07,0.0581
-10.71,-0.29,3.23,0.0540
-10.28,-0.27,3.39,0.0489
-9.85,-0.25,3.54,0.0441
-9.42,-0.23,3.68,0.0394
-8.98,-0.21,3.82,0.0350
-8.55,-0.20,3.95,0.0308
-8.12,-0.18,4.00,0.0269
-7.69,-0.17,4.00,0.0231
-7.26,-0.16,4.00,0.0196
-6.83,-0.15,4.00,0.0163
-6.39,-0.15,4.00,0.0132
-5.96,-0.14,4.00,0.0103
-5.53,-0.14,4.00,0.0077
-5.10,-0.13,4.00,0.0052
-4.67,-0.13,4.00,0.0030
-4.23,-0.13,4.00,0.0010
-3.80,-0.13,4.00,-0.0008
-3.37,-0.13,4.00,-0.0024
-2.94,-0.13,4.00,-0.0037
-2.50,-0.13,4.00,-0.0048
-2.07,-0.13,4.00,-0.0058
-1.64,-0.14,4.00,-0.0065
-1.21,-0.14,4.00,-0.0069
-0.77,-0.14,4.00,-0.0072
-0.34,-0.15,4.00,-0.0072
0.09,-0.15,4.00,-0.0071
0.52,-0.15,4.00,-0.0067
0.96,-0.15,4.00,-0.0061
1.39,-0.16,4.00,-0.0053
1.82,-0.16,4.00,-0.0042
2.25,-0.16,4.00,-0.0030
2.69,-0.16,4.00,-0.0015
3.12,-0.16,4.00,0.0002
3.55,-0.16,4.00,0.0021
3.98,-0.16,4.00,0.0021
